,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Peak Position,Weeks on Chart
45,Jackie Chan,Ti?sto,0.747,0.8340000000000001,3.0,-2.867,0.0,0.045,0.374,0.0,0.0586,0.687,128.005,215760.0,4.0,52.0,19.0
49,Call Out My Name,The Weeknd,0.489,0.598,1.0,-4.928999999999999,1.0,0.036000000000000004,0.218,0.0,0.35,0.172,134.045,228373.0,3.0,4.0,18.0
51,Happier,Marshmello,0.687,0.792,5.0,-2.7489999999999997,1.0,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015,214290.0,4.0,3.0,18.0
97,No Brainer,DJ Khaled,0.552,0.76,0.0,-4.706,1.0,0.342,0.0733,0.0,0.0865,0.639,135.702,260000.0,5.0,5.0,15.0
93,This Is Me,Keala Settle,0.284,0.7040000000000001,2.0,-7.276,1.0,0.18600000000000003,0.00583,0.00011499999999999999,0.0424,0.1,191.702,234707.0,4.0,83.0,14.0
59,Sin Pijama,Becky G,0.7909999999999999,0.745,11.0,-3.695,0.0,0.0464,0.354,2.9299999999999997e-05,0.10400000000000001,0.82,94.014,188560.0,4.0,70.0,12.0
99,Be Alright,Dean Lewis,0.5529999999999999,0.586,11.0,-6.319,1.0,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,196373.0,4.0,63.0,8.0
94,Everybody Dies In Their Nightmares,XXXTENTACION,0.7340000000000001,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953,95467.0,4.0,42.0,7.0
95,Rewrite The Stars,Zac Efron,0.684,0.619,10.0,-7.005,1.0,0.0386,0.0716,0.0,0.122,0.284,125.046,217440.0,4.0,70.0,7.0
33,Nevermind,Dennis Lloyd,0.5920000000000001,0.691,3.0,-8.354,1.0,0.196,0.156,9.78e-06,0.418,0.0796,99.976,156600.0,4.0,86.0,4.0
78,Criminal,Natti Natasha,0.8140000000000001,0.813,2.0,-3.023,0.0,0.0561,0.03,9.329999999999999e-05,0.255,0.8390000000000001,79.997,232550.0,4.0,95.0,3.0
44,Me Niego,Reik,0.777,0.779,0.0,-4.449,0.0,0.0972,0.0543,0.0,0.636,0.768,94.023,221653.0,4.0,97.0,3.0
83,Vaina Loca,Ozuna,0.754,0.805,6.0,-4.249,1.0,0.0752,0.315,0.0,0.203,0.555,93.98299999999999,176133.0,4.0,100.0,2.0
