id,Artist,Song Title,energy,key,tempo,danceability,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature,Peak Position,Weeks on Chart,PEAK,energy,key,tempo,danceability,loudness,mode
2xJCMIJfcNYDc5iR0sAm2,Dua Lipa,New Rules,0.7,9,116.073,0.762,-6.021,0,0.0694,0.00261,1.56E-05,0.153,0.608,209320,4,6,47,,,,,,,
6vN77lE9LK6HP2DewaN6H,Lil Baby,Yes Indeed,0.346,5,119.958,0.964,-9.309,0,0.53,0.035,0,0.108,0.562,142273,4,6,29,,,,,,,
3GCdLUSnKSMJhs4Tj6CV3,Kendrick Lamar,All The Stars,0.633,8,96.924,0.698,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,232187,4,7,21,,,,,,,
77UjLW8j5UAGAGVGhR5oU,The Weeknd,Pray For Me,0.677,2,100.584,0.735,-4.979,1,0.093,0.0762,2.17E-05,0.111,0.188,211440,4,7,20,,,,,,,
2iUXsYOEPhVqEBwsqP70r,5 Seconds of Summer,Youngblood,0.854,7,120.274,0.596,-5.114,0,0.463,0.0169,0,0.124,0.152,203418,4,7,48,,,,,,,
10Igtw8bSDyyFs7KIsKng,Lil Dicky,Freaky Friday,0.599,8,133.123,0.755,-5.042,1,0.224,0.147,0,0.109,0.755,216632,4,8,20,,,,,,,
5OCJzvD7sykQEKHH7qAC3,Ariana Grande,God is a woman,0.658,1,145.031,0.602,-5.934,1,0.0558,0.0233,6.00E-05,0.237,0.268,197547,4,8,22,,,,,,,
2UVbBKQOdFAekPTRsnkzc,Migos,Stir Fry,0.816,2,181.967,0.815,-5.474,1,0.269,0.00299,0,0.159,0.498,190288,4,8,21,,,,,,,
0d2iYfpKoM0QCKvcLCkBa,benny blanco,Eastside,0.68,6,89.391,0.56,-7.648,0,0.321,0.555,0,0.116,0.319,173800,4,9,48,,,,,,,
45Egmo7icyopuzJN0oMEd,Khalid,Love Lies,0.648,6,143.955,0.708,-5.626,1,0.0449,0.0956,0,0.134,0.338,201707,4,9,51,,,,,,,
0WdGQhoAP2LBsqr5Jhit2,Maroon 5,What Lovers Do,0.597,5,110.001,0.799,-5.131,0,0.0611,0.0788,5.66E-06,0.1,0.419,199849,4,9,21,,,,,,,
6n4U3TlzUGhdSFbUUhTvL,Migos,Walk It Talk It,0.628,2,145.905,0.909,-5.456,1,0.201,0.0739,0,0.108,0.406,276147,4,10,22,,,,,,,
08bNPGLD8AhKpnnERrAc6,Marshmello,FRIENDS,0.88,9,95.079,0.626,-2.384,0,0.0504,0.205,0,0.128,0.534,202621,4,11,29,,,,,,,
7AQim7LbvFVZJE3O8TYgf,XXXTENTACION,Fuck Love,0.533,0,131.036,0.797,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,146520,4,11,29,,,,,,,
2QZ7WLBE8h2y1Y5Fb8RYb,Shawn Mendes,In My Blood,0.712,5,140.025,0.622,-7.321,1,0.066,0.0573,0,0.13,0.487,211360,4,11,23,,,,,,,
7uzmGiiJyRfuViKKK3lVm,Bazzi,Mine,0.789,4,142.929,0.71,-3.874,1,0.0722,0.0161,2.77E-06,0.451,0.717,131064,4,11,34,,,,,,,
4w8niZpiMy6qz1mntFA5u,DJ Snake,Taki Taki,0.798,1,95.948,0.841,-4.206,0,0.229,0.153,3.33E-06,0.0618,0.591,212500,4,11,26,,,,,,,
52okn5MNA47tk87PeZJLE,NF,Let You Down,0.721,5,148.066,0.656,-5.665,0,0.122,0.298,0,0.173,0.468,212120,4,12,27,,,,,,,
0JP9xo3adEtGSdUEISisz,XXXTENTACION,Moonlight,0.537,9,128.009,0.921,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,135090,4,13,20,,,,,,,
1ZAyjvIk9YiD76yYy0TEG,Rich The Kid,Plug Walk,0.519,11,94.981,0.876,-6.531,1,0.143,0.202,0,0.108,0.158,175230,4,13,20,,,,,,,
7sO5G9EABYOXQKNPNiE9N,Offset,Ric Flair Drip,0.428,9,100.007,0.88,-8.28,1,0.206,0.149,5.07E-05,0.114,0.333,172800,4,13,30,,,,,,,
5k38wzpLb15YgncyWdTZE,G-Eazy,Him & I,0.731,2,87.908,0.589,-6.343,1,0.0868,0.0534,0,0.308,0.191,268867,4,14,19,,,,,,,
75ZvA4QfFiZvzhj2xkaWA,Post Malone,I Fall Apart,0.538,8,143.95,0.556,-5.408,0,0.0382,0.0689,0,0.196,0.291,223347,4,16,29,,,,,,,
4hQ6UGyWQIGJmHSo0J88J,Selena Gomez,Back To You,0.724,6,102.061,0.601,-4.856,1,0.0486,0.0945,1.68E-06,0.12,0.508,207905,4,18,26,,,,,,,
7AFASza1mXqntmGtbxXpr,XXXTENTACION,changes,0.308,11,64.934,0.669,-10.068,1,0.029,0.883,0,0.0984,0.52,121887,4,18,20,,,,,,,
5Z3GHaZ6ec9bsiI5Benrb,Khalid,Young Dumb & Broke,0.539,1,136.949,0.798,-6.351,1,0.0421,0.199,1.66E-05,0.165,0.394,202547,4,18,35,,,,,,,
7m9OqQk4RVRkw9JJdeAw9,XXXTENTACION,Jocelyn Flores,0.391,0,134.021,0.872,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,119133,4,19,20,,,,,,,
0tBbt8CrmxbjRP0pueQky,Selena Gomez,Wolves,0.807,11,124.946,0.72,-4.59,0,0.0432,0.129,0,0.183,0.305,197993,4,20,22,,,,,,,
3EPXxR3ImUwfayaurPi3c,Dean Lewis,Be Alright,0.586,11,126.684,0.553,-6.319,1,0.0362,0.697,0,0.0813,0.443,196373,4,23,29,,,,,,,
7ef4DlsgrMEH11cDZd32M,Calvin Harris,One Kiss,0.862,9,123.994,0.791,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,214847,4,26,21,,,,,,,
